typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d
CONTRE-TERRASSE OUVERTE,14 RUE DES PANOYAUX,75020,LOU PASCALOU,,52384413200010,4.8,4.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8f8iJqKvI4hoHOmUGnOeppUHbELO5yok2L-KqCX7qZ9V8%3d&p=chMOZL_3S4Vd7FEjAQ0taMI1MuhNttdNzKfjeDZyRwP3fyqYH8SyyiQptG6JPJtWFrktS4Xi1-A%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3854522524772896, 48.866330091701045], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3854522524772896, 'lat': 48.866330091701045}"
TERRASSE OUVERTE,167 BOULEVARD VOLTAIRE,75011,,,51285599000010,7.65,2.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgb2Cj--5N_VhWknIqV5_MgjrFrb2GTnjmVXzkypuJYNWORPuZV40DAE%3d&p=chMOZL_3S4WG6aKVUeyH5Ell8eP_WOLTyN05jqL38WZZTow38whMoUeN0pT344cKT1tHI9pRLrU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3857018993955266, 48.854642373630554], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3857018993955266, 'lat': 48.854642373630554}"
TERRASSE OUVERTE,16 RUE DU LOUVRE,75001,CHEZ ALEXANDRE,,42221797600014,2.5,1.1,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS7UqyiIHpwianFAYyEOJKCQTLNTBPxaN_gqyHZ2BV3MNI%3d&p=chMOZL_3S4Vbt23cdWa_yqkU344rAykIO0DHScNwjxJTwYEL59sc7_2oPvj4NMdkIQKqhp4aZl8%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3410809317051617, 48.86116698012297], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3410809317051617, 'lat': 48.86116698012297}"
ETALAGE,17 RUE LOUIS BONNET,75011,TINTIN,,90784381700012,0.5,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSSJdkLfUHlSC7CGMgHbBTqweKxQ64m1P6dgeZNiyjqn&p=chMOZL_3S4XCLyMR07QRANwWBxZqkakOvW1ndIcO_nnVXzqHgge0-bFgxXfPOKWj1s7MeFom5Ho%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.376612773633264, 48.87125642267529], 'type': 'Point'}, 'properties': {}}","{'lon': 2.376612773633264, 'lat': 48.87125642267529}"
TERRASSE OUVERTE,65 RUE CAULAINCOURT,75018,LE CEPAGE MONTMARTROIS,,92538239200015,5.6,1.2,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.335878734861472, 48.8895941672243], 'type': 'Point'}, 'properties': {}}","{'lon': 2.335878734861472, 'lat': 48.8895941672243}"
ETALAGE,22 RUE JEAN NICOT,75007,CIAO RAGAZZI,,83753264700026,4.2,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgR19xlDjkOjKw8VNSgBPHfGI9_Bs4YH0ilhYQrgYdjHdJxF-qYBlNdM%3d&p=chMOZL_3S4WzSj2VHhwG-1FRY9TgsPUDEGJZc2smj7OD06AX9v3R33Cd8rLeOAjsvK0CYg8CA_I%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3074915745723366, 48.86014140137364], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3074915745723366, 'lat': 48.86014140137364}"
PLANCHER MOBILE,70 BOULEVARD DE STRASBOURG,75010,LE BUFFET DE LA GARE,,80337331500016,5.5,2.4,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgevuRxZsN1AkI9_pxuB2CXNStw12qPUsFQrdpWt2f_2tuTOO-mBzH-Y%3d&p=chMOZL_3S4WzSj2VHhwG-_LWyjCGJU6mrvWhtL410r0sItNtRWi_gRHMZA-g2wBOt4UiNlf1-Cw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.357885249532565, 48.87509847699053], 'type': 'Point'}, 'properties': {}}","{'lon': 2.357885249532565, 'lat': 48.87509847699053}"
TERRASSE OUVERTE,122 RUE DE TOLBIAC,75013,LA COMMEDIA,,88156422300017,2.5,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQKbzATxwIZYtwUPrsBLjkuZgbBxq4Lhu6EU634np0D7ERdhpRFW1yk%3d&p=chMOZL_3S4Vd7FEjAQ0taKqG7aD7VTtdlKBUpcvXB1cffzm15sJ275uCa3c20oKkiBkbtghO3aA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3600825088408004, 48.826252261256755], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3600825088408004, 'lat': 48.826252261256755}"
TERRASSE OUVERTE,181 RUE LEGENDRE,75017,AUX DES CALES,,80865275400017,6.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWiT-93SdZClOVPddM35p52k_-bq-gIffylmuhsG0Rs_zpO1Lnd4XDI%3d&p=chMOZL_3S4Vd7FEjAQ0taDX8dp53f_iTRHNM30_b84Ua30rEsr9m9VMCk-75XG1Zi8huNU9cyuw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3261804553519996, 48.892027882329394], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3261804553519996, 'lat': 48.892027882329394}"
TERRASSE OUVERTE,37 RUE BERGER,75001,LE BISTROT D'EUSTACHE,,83252232000023,6.7,2.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8fCAhCt3DWuizai1ve8UaXJClWWz5bQrEaY5RGDGaAOqI%3d&p=chMOZL_3S4Vd7FEjAQ0taBBY8vw3buF0E0uCoSsI23nB6tlgHC5NrhQHU16lpMH1HNUBZR2Aypo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3436490285431697, 48.861854415480515], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3436490285431697, 'lat': 48.861854415480515}"
TERRASSE OUVERTE,221 RUE RAYMOND LOSSERAND,75014,NIPPON SHOP,,81278236500025,7.2,1.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWTkiBY6Ew6OUs2r9SMhA2O_3E2XMEgLgyZ23bqs0iJnxhE6yzTln9c%3d&p=chMOZL_3S4U6_ClyaDcu1cU4VKGTFD6yKc8V7ZhH_63s0uqf34isaeadPXsM8M1xFOF9u59by0o%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3064596636128165, 48.82812672469795], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3064596636128165, 'lat': 48.82812672469795}"
COMMERCE ACCESSOIRE,161 RUE SAINT-CHARLES,75015,AU MATCHA,,81167142900025,1.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQfENU0uACqcgm5ijyQuX-WJqVQUnFmmoodn8PWtobHN7LxbPTQnYXs%3d&p=chMOZL_3S4XGJQayF6V1YM5-goizjkM_xgg00RLTLtIo1CDmz0XCPmTRYlgsrD7CDlLxqmzOiao%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.2819665729055103, 48.842123991561635], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2819665729055103, 'lat': 48.842123991561635}"
TERRASSE OUVERTE,20 RUE CLEMENT MAROT,75008,ANNA,,32630030800011,8.59,0.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQfENU0uACqcqm9G2ZZJusZhDXhLx7qKIG8A1_LayO-F&p=chMOZL_3S4XGJQayF6V1YFdtyWId5wRec3DbTaJ09WZRPuGsx3VyJAZ67DQEGUuTRSNQarsLh5o%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.303011726150513, 48.86791474214206], 'type': 'Point'}, 'properties': {}}","{'lon': 2.303011726150513, 'lat': 48.86791474214206}"
